Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
742048,Drs.,Lizeth,P,Mccoll,F,lizeth.mccoll@ibm.com,Renato Mccoll,Serena Mccoll,Broxton,7/5/1973,08:14:43 AM,47.19,49,1/7/1995,Q1,H1,1995,1,January,Jan,7,Saturday,Sat,25.67,147446,14%,171-86-6830,216-703-2865,Alliance,Stark,Alliance,OH,44601,Midwest,lpmccoll,b5CDsd1Mz.
671135,Ms.,Argentina,O,Hern,F,argentina.hern@ntlworld.com,Earl Hern,Chrissy Hern,Tapley,10/15/1962,02:08:22 AM,57.92,53,4/1/1986,Q2,H1,1986,4,April,Apr,1,Tuesday,Tue,34.44,129174,8%,083-02-3078,202-572-0136,Washington,District of Columbia,Washington,DC,20411,South,aohern,vsUv&nFc?lM|2-
965851,Mr.,Damian,N,Patillo,M,damian.patillo@outlook.com,Harley Patillo,Lucinda Patillo,Etter,3/11/1975,07:48:45 PM,45.51,84,12/16/2004,Q4,H2,2004,12,December,Dec,16,Thursday,Thu,15.72,158746,8%,326-11-9852,209-784-3915,Burrel,Fresno,Burrel,CA,93607,West,dnpatillo,GQj^c:4#B:F8
224660,Drs.,Imogene,P,Hagopian,F,imogene.hagopian@gmail.com,Delmar Hagopian,Carolina Hagopian,Lockett,2/19/1995,03:15:09 PM,25.55,52,6/8/2017,Q2,H1,2017,6,June,Jun,8,Thursday,Thu,3.23,55761,14%,656-36-0772,210-460-6327,Bryan,Brazos,Bryan,TX,77806,South,iphagopian,d[aHK7aiH&
852694,Mr.,Walker,E,Wallach,M,walker.wallach@aol.com,Gale Wallach,Georgianna Wallach,Creekmore,8/5/1992,01:03:46 PM,28.09,50,2/28/2020,Q1,H1,2020,2,February,Feb,28,Friday,Fri,0.51,197519,24%,296-15-3535,225-846-1969,Newllano,Vernon,Newllano,LA,71461,South,wewallach,kM\7h*}7
144102,Ms.,Jesusita,W,Hollie,F,jesusita.hollie@hotmail.com,Clement Hollie,Nilda Hollie,Barone,10/30/1987,04:55:43 AM,32.86,49,3/5/2015,Q1,H1,2015,3,March,Mar,5,Thursday,Thu,5.5,103839,6%,375-37-3861,209-219-5562,Topanga,Los Angeles,Topanga,CA,90290,West,jwhollie,p1-G0\b~
687793,Mr.,Fausto,P,Esqueda,M,fausto.esqueda@aol.com,Randal Esqueda,Yang Esqueda,Cullens,4/23/1971,10:25:52 AM,49.39,75,10/29/1998,Q4,H2,1998,10,October,Oct,29,Thursday,Thu,21.85,60101,5%,095-02-0857,216-722-2112,Somerdale,Tuscarawas,Somerdale,OH,44678,Midwest,fpesqueda,lX!iJCJF@[f-/F
636308,Mrs.,Vanda,S,Komar,F,vanda.komar@aol.com,Carlo Komar,Katia Komar,Almanzar,9/2/1962,02:52:40 AM,58.04,52,7/25/2018,Q3,H2,2018,7,July,Jul,25,Wednesday,Wed,2.1,115639,26%,002-11-5408,216-224-9563,Akron,Summit,Akron,OH,44312,Midwest,vskomar,I0!gVO~XFHG0\9q
218660,Mrs.,Destiny,A,Nicholson,F,destiny.nicholson@gmail.com,Ramon Nicholson,Tanika Nicholson,Schauer,7/1/1995,01:58:42 PM,25.19,54,11/22/2016,Q4,H2,2016,11,November,Nov,22,Tuesday,Tue,3.78,126048,19%,386-37-5628,201-997-3957,Atlantic City,Atlantic,Atlantic City,NJ,8401,Northeast,danicholson,s|?t/%X+
465691,Ms.,Evie,V,Hamby,F,evie.hamby@gmail.com,Devin Hamby,Jerica Hamby,Plum,6/22/1980,12:17:42 AM,40.22,60,10/4/2013,Q4,H2,2013,10,October,Oct,4,Friday,Fri,6.91,193757,28%,682-24-5946,201-331-7085,Rockaway,Morris,Rockaway,NJ,7866,Northeast,evhamby,Xv7!P;xf
242339,Dr.,Carlton,G,Friedrich,M,carlton.friedrich@gmail.com,Tommy Friedrich,Ricki Friedrich,Camp,10/7/1993,12:05:46 AM,26.92,64,10/5/2016,Q4,H2,2016,10,October,Oct,5,Wednesday,Wed,3.91,43826,14%,717-18-8892,216-458-6650,Cincinnati,Hamilton,Cincinnati,OH,45202,Midwest,cgfriedrich,ROEj:i88Ov
636949,Mr.,Carmelo,A,Haynie,M,carmelo.haynie@gmail.com,Mason Haynie,Dorian Haynie,Blessing,3/19/1988,01:02:33 PM,32.47,83,3/10/2015,Q1,H1,2015,3,March,Mar,10,Tuesday,Tue,5.48,84036,2%,529-99-1135,231-719-8915,Howell,Livingston,Howell,MI,48844,Midwest,cahaynie,R^[haXId3H
890565,Ms.,Bari,K,Troche,F,bari.troche@hotmail.com,Wilson Troche,Madison Troche,Imhoff,6/12/1961,12:10:42 PM,59.26,40,6/6/2006,Q2,H1,2006,6,June,Jun,6,Tuesday,Tue,14.25,182148,30%,479-41-7839,505-741-3868,Cochiti Lake,Sandoval,Cochiti Lake,NM,87083,West,bktroche,F}BQulqy[P@<Y8q
206270,Mr.,Burton,B,Lowry,M,burton.lowry@comcast.net,Oren Lowry,Fredda Lowry,Goodwyn,9/18/1987,10:33:51 PM,32.98,50,10/29/2011,Q4,H2,2011,10,October,Oct,29,Saturday,Sat,8.85,181592,26%,618-87-1917,215-747-2870,Palmerton,Carbon,Palmerton,PA,18071,Northeast,bblowry,k;B:j!?CkWb**
418390,Prof.,Mickey,Z,Bassham,M,mickey.bassham@gmail.com,Deon Bassham,Lan Bassham,Buttler,9/29/1997,11:32:24 AM,22.94,57,12/19/2019,Q4,H2,2019,12,December,Dec,19,Thursday,Thu,0.7,131922,23%,186-86-7205,231-987-8818,Lake Orion,Oakland,Lake Orion,MI,48362,Midwest,mzbassham,BVT4u}~8f{;xl15
359884,Ms.,Ying,Y,Cerrone,F,ying.cerrone@aol.com,Benedict Cerrone,Jeanett Cerrone,Line,3/19/1980,08:03:52 AM,40.48,53,5/17/2012,Q2,H1,2012,5,May,May,17,Thursday,Thu,8.3,184946,1%,083-02-7174,218-498-8798,Iona,Murray,Iona,MN,56141,Midwest,yycerrone,Lx8ii-9U
301840,Mrs.,Bette,O,Copas,F,bette.copas@sbcglobal.net,Rupert Copas,Bette Copas,Gerner,11/12/1962,07:20:25 AM,57.84,55,2/26/2000,Q1,H1,2000,2,February,Feb,26,Saturday,Sat,20.53,103833,27%,124-98-3183,307-986-9240,Hillsdale,Laramie,Hillsdale,WY,82060,West,bocopas,Fz-z~VtH9dfo
232212,Mrs.,Tien,W,Harkey,F,tien.harkey@cox.net,Robin Harkey,Carlotta Harkey,Blas,9/4/1998,12:31:09 AM,22.01,52,5/26/2020,Q2,H1,2020,5,May,May,26,Tuesday,Tue,0.27,103292,10%,615-87-8886,209-433-3579,Fresno,Fresno,Fresno,CA,93782,West,twharkey,c/jI.a^K|[$}o#
450156,Ms.,Loma,S,Chesney,F,loma.chesney@yahoo.com,Bret Chesney,Viola Chesney,Barnhill,5/25/1963,05:20:17 PM,57.31,50,11/14/1989,Q4,H2,1989,11,November,Nov,14,Tuesday,Tue,30.82,66545,7%,161-86-9824,205-930-2406,Mobile,Mobile,Mobile,AL,36602,South,lschesney,8U+<JTEXx&Q]R\S
